speaker_name,position,logo_url,extracted_company_name
Amanda Clarida,"Senior Manager, Learning Design and Development",https://augmentedenterprisesummit.com/wp-content/uploads/2023/06/2023-Volvo-V1.png,2023 Volvo V1.png
Paul Davies,Technical Fellow - Immersive Technologies,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Scott Burch,Flight Operations Instructional Designer,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Alaska-Airlines-2023.png,Alaska Airlines 2023.png
Janet Ann,"Instructional Systems Designer, Flight Operations",https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Alaska-Airlines-2023.png,Alaska Airlines 2023.png
Joey Eller,VDC Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/2024-Whiting-Turner.png,2024 Whiting Turner.png
Jim Kessler,Global Technology Leader for XR,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/JACOBS-AES-2022.png,JACOBS AES 2022.png
Chris McGlone,"Director, Training and Education",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/ABBOTT-AES-2022.png,ABBOTT AES 2022.png
Kaylee Brown,Manager of Innovation Development,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Pearson.png,2024 Pearson.png
Athicha Dhanormchitphong,Enterprise 3D Architect,https://augmentedenterprisesummit.com/wp-content/uploads/2023/01/2023-EXXON.png,2023 EXXON.png
David Yin,ARTech Product Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/PACCAR-2023.png,PACCAR 2023.png
Dr. Matt Law,"DrPH, CSP, REHS, Manager, Customer Safety Strategy",https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-grainger.png,2024 grainger.png
Joel Honeyman,Vice President of Global Innovation,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Bobcat-Company.png,Bobcat Company.png
Kurt Scheuringer,"Principal Spatial Computing Solutions Architect, Emerging Technologies",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/AMAZON-WEB-SERVICES-AES-2022.png,AMAZON WEB SERVICES AES 2022.png
Andreas Oeder,Head of Digital for Augmented Worker,https://augmentedenterprisesummit.com/wp-content/uploads/2022/05/AES-2022-AIRBUS.png,AES 2022 AIRBUS.png
Niki Poonawala,"Director, Strategic Transformation Programs",https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/Worley-2023.png,Worley 2023.png
Pascal Goldschmidt,Chief Medical Officer,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-lennar.png,2024 lennar.png
Zachary Peters,Principal Curriculum Development Specialist,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-komatsu.png,2024 komatsu.png
Rajat Lokesh,Senior XR Developer,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Schlumberger-2023.png,Schlumberger 2023.png
Jenny Taylor,"Lead, Virtual Crew, Digital Transformation",https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/DUKE-ENERGY-AES-2022-V1.png,DUKE ENERGY AES 2022 V1.png
Eamonn Powers,"Manager, BAS Network Training",https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Bombadier.png,2024 Bombadier.png
Anne Emberson,Area Vice President Digital,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/ecolab-2024.png,ecolab
Greg Scott,Lead Instructional Designer,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/2024-CDW.png,2024 CDW.png
Bharat Sharma,Machine Vision & Automation Lead,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-CSX.png,2024 CSX.png
Kate Donovan,Clinical Director of Innovation,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/Boston-Childrens-Hospital-v2.png,Boston Childrens Hospital v2.png
Ricardo Narciso Schiochet,LATAM Digital Manufacturing Manager,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/Kimberly-Clark-2023.png,Kimberly Clark 2023.png
Matthew Sagaser,Director of Innovation Accelerated,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Bobcat-Company.png,Bobcat Company.png
Michael Hammond,Manager- Digital Visual Communications,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/2023-TREK.png,2023 TREK.png
